,0
0,1980.83720557
1,1981.52570277
2,1982.33514999
3,1983.19096415
4,1984.01562468
5,1984.09069227
6,1984.17073095
7,1984.8864935
8,1985.72614863
9,1985.85029596
10,1985.99936726
11,1986.12125015
12,1986.15067041
13,1986.25923679
14,1986.32602228
15,1986.3264387000002
16,1986.39571489
17,1986.41596773
18,1986.41725302
19,1986.43924663
20,1986.4954258999999
21,1986.56487328
22,1986.67001519
23,1986.67597658
24,1986.83607344
25,1986.90375503
26,1986.90391351
27,1986.90481786
28,1986.93628272
29,1986.95204777
30,1986.97186638
31,1986.97776026
32,1986.98182323
33,1987.01461344
34,1987.02504154
35,1987.04431868
36,1987.06485594
37,1987.09472108
38,1987.13491285
39,1987.15366081
40,1987.19779882
41,1987.36809194
42,1987.37325168
43,1987.3743175999998
44,1987.40494301
45,1987.41572404
46,1987.4187702
47,1987.43100343
48,1987.46054404
49,1987.49126018
50,1987.9307910999999
51,1987.93159059
52,1987.93444192
53,1987.93444785
54,1987.95697294
55,1988.08185212
56,1988.21419177
57,1988.22705259
58,1988.24496608
59,1988.30452743
60,1988.4265652
61,1988.4510755
62,1988.47258796
63,1988.51085813
64,1988.56104644
65,1988.6585778
66,1988.71445147
67,1988.74257849
68,1988.75660674
69,1988.77984928
70,1988.78309448
71,1989.10392462
72,1989.13835483
73,1989.14528906
74,1989.54826828
75,1989.54864505
76,1990.10274398
77,1990.70927234
78,1990.87257361
79,1991.06358533
80,1992.16725192
81,1992.21728822
82,1992.49469836
83,1992.60622698
84,1992.60785023
85,1992.60884007
86,1992.76010197
87,1992.88224955
88,1992.88460555
89,1992.88824704
90,1992.89480147
91,1992.91897193
92,1992.95947422
93,1992.95984758
94,1993.03756882
95,1993.07999028
96,1993.18918384
97,1994.32368527
98,1994.50496283
99,1995.04838595
100,1995.22319293
101,1995.25816452
102,1995.41424941
103,1995.70416962
104,1995.91673834
105,1996.96635922
106,1997.19058317
107,1997.68214995
108,1998.32217091
109,1998.51446869
110,1998.82941661
111,1999.8163622000002
112,2000.76892911
113,2002.06695483
114,2002.10594982
115,2002.19302145
116,2002.41209507
117,2002.80026297
118,2003.93645003
119,2003.94435911
120,2004.30785716
121,2004.43445501
122,2004.44131406
123,2004.69201455
124,2004.8934089000002
125,2005.30471284
126,2005.37243109
127,2005.37820153
128,2006.20097114
129,2006.25967729
130,2006.6020473
131,2006.60384674
132,2006.6234259
133,2006.76418052
134,2006.83689562
135,2006.97016979
136,2006.97057479
137,2007.02166295
138,2007.11718524
139,2007.11783831
140,2007.40240367
141,2007.66974288
142,2007.95788146
143,2008.00099477
144,2008.00913216
145,2008.06886216
146,2008.12473644
147,2008.42693604
148,2008.43741658
149,2008.43977646
150,2008.47293957
151,2008.80545168
152,2008.82344183
153,2008.8297378
154,2008.91835464
155,2009.07526476
156,2009.07956216
157,2009.09159659
158,2009.14357518
159,2009.15116867
160,2009.18231862
161,2009.2074674000003
162,2009.20749927
163,2009.20775737
164,2009.39239076
165,2009.40564403
166,2009.40728862
167,2009.4517715999998
168,2009.45668335
169,2009.48463324
170,2009.49785922
171,2009.54174327
172,2009.55370243
173,2009.55872103
174,2009.61873854
175,2009.65301035
176,2009.6535357999999
177,2009.65380083
178,2009.65382686
179,2009.65402166
180,2009.65407915
181,2009.65408137
182,2009.65417046
183,2009.65504014
184,2009.65519581
185,2009.65528127
186,2009.68653576
187,2009.80866913
188,2009.83772279
189,2009.86977363
190,2009.87525232
191,2009.87716951
192,2009.89381129
193,2009.90055491
194,2009.90977355
195,2009.933532
196,2009.94406449
197,2009.94652605
198,2009.94893157
199,2009.95521168
200,2009.96162884
201,2009.96192095
202,2009.96770425
203,2009.97206383
204,2009.99553578
205,2010.00214205
206,2010.02799848
207,2010.03676859
208,2010.04010358
209,2010.04011994
210,2010.04538381
211,2010.047916
212,2010.06384108
213,2010.07234397
214,2010.08763904
215,2010.11843784
216,2010.12369186
217,2010.1359121
218,2010.13609744
219,2010.14031145
220,2010.14565731
221,2010.1544561
222,2010.15453783
223,2010.15871852
224,2010.16267307
225,2010.16764707
226,2010.17495287
227,2010.17751696
228,2010.18699504
229,2010.18997533
230,2010.19015471
231,2010.19018442
232,2010.19019438
233,2010.19028618
234,2010.1905542
235,2010.19177605
236,2010.19238575
237,2010.1926875999998
238,2010.19555316
239,2010.20776754
240,2010.2134844999998
241,2010.21947737
242,2010.21995906
243,2010.22012951
244,2010.22024135
245,2010.22032809
246,2010.22102733
247,2010.24830737
248,2010.2536040999998
249,2010.25363835
250,2010.25371848
251,2010.26472279
252,2010.26720456
253,2010.2715554000001
254,2010.27232623
255,2010.27717808
256,2010.27781615
257,2010.28502636
258,2010.28627118
259,2010.28645852
260,2010.28741521
261,2010.29186337
262,2010.29275511
263,2010.29350295
264,2010.30150539
265,2010.30328742
266,2010.30515925
267,2010.31486174
268,2010.32438946
269,2010.32579959
270,2010.34592482
271,2010.34666086
272,2010.3473540999998
273,2010.35074962
274,2010.35082087
275,2010.36363714
276,2010.36431126
277,2010.40084342
278,2010.44022869
279,2010.44434909
280,2010.45177691
281,2010.46326966
282,2010.47118278
283,2010.47391101
284,2010.49584256
285,2010.49608359
286,2010.49609212
287,2010.49804538
288,2010.49957027
289,2010.50618433
290,2010.50681161
291,2010.53184399
292,2010.53303672
293,2010.53424011
294,2010.53614374
295,2010.53842339
296,2010.5649531
297,2010.58468858
298,2010.58475653
299,2010.58477128
300,2010.58580004
301,2010.5989041999999
302,2010.60099312
303,2010.61413721
304,2010.64594169
305,2010.64595215
306,2010.65762316
307,2010.65866277
308,2010.65881814
309,2010.66584193
310,2010.66588198
311,2010.6668139000003
312,2010.67288486
313,2010.67584123
314,2010.68498005
315,2010.68498624
316,2010.69212494
317,2010.69510122
318,2010.69533317
319,2010.70640008
320,2010.70640547
321,2010.70640807
322,2010.70932566
323,2010.71193877
324,2010.7175833000001
325,2010.71817761
326,2010.71820529
327,2010.72071829
328,2010.72155023
329,2010.72346905
330,2010.72721252
331,2010.7307135
332,2010.73291369
333,2010.73365522
334,2010.73492231
335,2010.7355
336,2010.75053127
337,2010.76188147
338,2010.78103694
339,2010.78243246
340,2010.79612833
341,2010.79762326
342,2010.79930229
343,2010.80322806
344,2010.81428209
345,2010.81608298
346,2010.82304579
347,2010.82305441
348,2010.82305914
349,2010.82495811
350,2010.82514964
351,2010.83751069
352,2010.86488182
353,2010.87406034
354,2010.89001383
355,2010.8984940999999
356,2010.89860201
357,2010.90047384
358,2010.90047574
359,2010.90106532
360,2010.90724274
361,2010.90724642
362,2010.90842168
363,2010.90863873
364,2010.90865151
365,2010.90889932
366,2010.91018947
367,2010.91370913
368,2010.93997917
369,2010.94533473
370,2010.94542751
371,2010.94558337
372,2010.94612351
373,2010.94691143
374,2010.95138435
375,2010.95272073
376,2010.9677356
377,2010.96840611
378,2010.96847476
379,2010.97033032
380,2010.9706407
381,2010.97241537
382,2010.97931719
383,2010.9810579999998
384,2010.98924924
385,2010.9923274999999
386,2010.99861546
387,2011.00215376
388,2011.00216974
389,2011.00634541
390,2011.01033409
391,2011.01448259
392,2011.01703035
393,2011.0201744000003
394,2011.02529649
395,2011.02998678
396,2011.03154313
397,2011.03255831
398,2011.0395957000003
399,2011.04660268
400,2011.0469941
401,2011.04975913
402,2011.05845389
403,2011.06675951
404,2011.08020345
405,2011.08907736
406,2011.09339133
407,2011.09400336
408,2011.12099585
409,2011.12599191
410,2011.12943626
411,2011.13489333
412,2011.14322841
413,2011.16738363
414,2011.19028992
415,2011.20564574
416,2011.22199632
417,2011.22419245
418,2011.2294284000002
419,2011.24448535
420,2011.31656393
421,2011.35389266
422,2011.35723487
423,2011.36780007
424,2011.37839948
425,2011.38496049
426,2011.40360131
427,2011.45822152
428,2011.49697308
429,2011.53450669
430,2011.53756323
431,2011.55392818
432,2011.55925967
433,2011.57013619
434,2011.57577223
435,2011.57579268
436,2011.58097435
437,2011.59812554
438,2011.5987480000001
439,2011.60819692
440,2011.62402946
441,2011.62470868
442,2011.62932052
443,2011.64094108
444,2011.64368468
445,2011.66529379
446,2011.66583666
447,2011.66633346
448,2011.66722596
449,2011.67690351
450,2011.67829433
451,2011.67948839
452,2011.6804785
453,2011.69386121
454,2011.69767022
455,2011.71412576
456,2011.75175298
457,2011.76012262
458,2011.783316
459,2011.79518923
460,2011.80887373
461,2011.80912972
462,2011.82108476
463,2011.82265021
464,2011.82298091
465,2011.84465896
466,2011.84468668
467,2011.8447195
468,2011.84473116
469,2011.84474046
470,2011.84488619
471,2011.84513746
472,2011.84540037
473,2011.84550325
474,2011.84669704
475,2011.84701896
476,2011.847039
477,2011.8470476
478,2011.84709253
479,2011.84713467
480,2011.8473195999998
481,2011.84743661
482,2011.84744773
483,2011.84749798
484,2011.84751563
485,2011.84764472
486,2011.84767875
487,2011.84781694
488,2011.84783841
489,2011.84786215
490,2011.8478698
491,2011.84830121
492,2011.8484531
493,2011.84861603
494,2011.84868141
495,2011.84912401
496,2011.84932236
497,2011.84946198
