,0
0,3.0
1,3.5
2,3.0
3,2.7
4,2.6
5,3.2
6,2.6
7,2.9
8,2.9
9,2.0
10,2.7
11,1.8
12,2.3
13,1.6
14,1.7
15,2.2
16,2.2
17,2.0
18,1.3
19,1.5
20,2.3
21,2.3
22,2.1
23,2.6
24,1.7
25,1.8
26,1.9
27,1.8
28,2.4
29,1.6
30,2.8
31,1.6
32,1.7
33,1.9
34,2.3
35,2.3
36,3.1
37,1.7
38,2.1
39,1.9
40,2.8
41,2.1
42,1.7
43,1.5
44,1.6
45,2.9
46,1.9
47,1.5
48,1.9
49,1.7
50,2.6
51,2.0
52,3.7
53,2.5
54,2.1
55,1.9
56,1.4
57,2.3
58,2.3
59,1.7
60,2.1
61,1.8
62,2.1
63,2.3
64,1.7
65,0.9
66,1.9
67,1.9
68,1.6
69,2.1
70,2.4
71,2.0
72,2.1
73,1.4
74,2.7
75,3.1
76,2.5
77,2.5
78,3.9
79,3.0
80,1.9
81,2.2
82,2.7
83,2.2
84,2.2
85,2.9
86,2.8
87,2.0
88,1.8
89,2.2
90,2.3
91,1.8
92,2.6
93,3.6
94,3.1
95,2.0
96,2.7
97,3.0
98,2.8
99,4.2
100,2.8
101,3.0
102,3.0
103,4.1
104,2.9
105,2.5
106,2.5
107,4.5
108,3.9
109,3.2
110,3.5
111,3.0
112,2.6
113,2.6
114,3.8
115,2.2
116,3.3
117,3.4
118,2.4
119,2.4
120,2.9
121,3.5
122,2.9
123,2.8
124,3.0
125,3.0
126,2.8
127,2.5
128,3.0
129,3.0
130,2.2
131,2.9
132,2.6
133,3.5
134,2.9
135,2.6
136,2.7
137,2.5
138,2.8
139,2.8
140,3.2
141,1.8
142,2.6
143,2.7
144,2.5
145,2.3
146,2.4
147,2.5
148,2.5
149,3.1
150,2.9
151,2.7
152,2.8
153,3.1
154,2.7
155,3.4
156,2.4
157,3.1
158,3.2
159,3.3
160,3.4
161,2.7
162,2.5
163,2.4
164,2.0
165,2.2
166,2.2
167,3.4
168,2.8
169,3.7
170,3.4
171,2.2
172,3.3
173,1.8
174,2.3
175,3.4
176,2.5
177,2.8
178,2.5
179,2.6
180,2.4
181,2.7
182,2.7
183,3.5
184,2.4
185,2.3
186,2.3
187,3.0
188,2.7
189,3.1
190,3.0
191,3.1
192,2.6
193,2.1
194,3.0
195,3.5
196,2.8
197,3.1
198,3.6
199,2.4
200,2.1
201,2.8
202,3.1
203,2.0
204,2.4
205,2.8
206,2.8
207,3.3
208,3.8
209,3.7
210,3.0
211,2.5
212,3.6
213,2.3
214,2.5
215,3.2
216,3.0
217,2.5
218,3.0
219,2.6
220,2.5
221,3.1
222,2.0
223,4.1
224,2.6
225,2.5
226,3.1
227,2.2
228,3.1
229,3.0
230,2.8
231,2.7
232,2.7
233,3.0
234,2.9
235,3.4
236,1.7
237,2.7
238,3.1
239,2.5
240,2.4
241,3.7
242,2.6
243,2.7
244,2.8
245,2.3
246,2.3
247,2.5
248,2.4
249,2.8
250,2.7
251,2.5
252,3.4
253,2.8
254,2.5
255,3.0
256,2.8
257,3.0
258,2.4
259,3.2
260,2.5
261,1.9
262,2.4
263,2.2
264,2.6
265,2.8
266,2.5
267,2.4
268,2.6
269,2.7
270,2.5
271,3.4
272,2.4
273,2.4
274,2.5
275,2.4
276,2.4
277,2.4
278,2.3
279,2.7
280,3.1
281,2.7
282,2.5
283,2.7
284,2.7
285,2.6
286,2.5
287,2.6
288,2.7
289,2.0
290,2.6
291,2.5
292,2.7
293,2.3
294,2.2
295,2.6
296,2.9
297,3.4
298,2.8
299,2.9
300,2.1
301,2.9
302,2.8
303,2.6
304,2.6
305,2.5
306,2.5
307,2.4
308,2.5
309,3.1
310,2.9
311,2.5
312,2.7
313,3.3
314,2.7
315,2.5
316,2.6
317,2.4
318,2.1
319,3.1
320,2.2
321,1.6
322,3.3
323,2.3
324,3.5
325,2.4
326,2.7
327,2.3
328,1.8
329,2.5
330,2.5
331,2.5
332,3.3
333,2.4
334,2.5
335,2.5
336,3.1
337,2.8
338,2.3
339,4.4
340,2.5
341,2.7
342,2.8
343,2.5
344,2.3
345,3.2
346,2.5
347,2.0
348,2.5
349,2.4
350,2.7
351,2.5
352,2.1
353,2.7
354,2.5
355,3.9
356,3.1
357,2.5
358,2.6
359,2.7
360,3.0
361,3.5
362,3.3
363,2.4
364,2.4
365,2.5
366,2.6
367,2.5
368,2.6
369,3.2
370,2.8
371,2.9
372,2.4
373,2.6
374,2.6
375,2.5
376,2.7
377,2.5
378,2.6
379,2.6
380,2.6
381,2.5
382,3.0
383,2.6
384,3.1
385,2.6
386,2.6
387,2.8
388,2.0
389,2.6
390,2.9
391,2.8
392,2.5
393,2.7
394,2.7
395,2.6
396,2.7
397,2.6
398,3.4
399,2.6
400,2.8
401,2.8
402,2.5
403,2.6
404,2.5
405,2.6
406,2.6
407,2.4
408,2.3
409,2.5
410,2.5
411,2.7
412,2.8
413,2.8
414,3.1
415,2.7
416,2.8
417,2.5
418,2.6
419,3.2
420,2.5
421,2.7
422,2.5
423,2.9
424,2.8
425,2.7
426,2.9
427,2.5
428,2.6
429,2.6
430,2.5
431,2.6
432,2.5
433,2.3
434,2.7
435,2.6
436,3.0
437,2.5
438,2.5
439,2.5
440,2.1
441,2.7
442,3.0
443,2.5
444,2.9
445,3.0
446,2.6
447,2.5
448,2.5
449,2.7
450,2.7
451,3.0
452,2.6
453,2.4
454,3.3
455,2.6
456,2.5
457,3.0
458,2.5
459,2.9
460,2.6
461,2.8
462,2.4
463,3.2
464,3.4
465,4.8
466,3.3
467,2.6
468,2.6
469,2.6
470,3.3
471,3.4
472,3.2
473,3.6
474,3.0
475,5.7
476,4.0
477,3.0
478,3.9
479,3.3
480,3.7
481,3.2
482,3.6
483,3.0
484,3.1
485,3.5
486,3.7
487,3.6
488,3.1
489,2.8
490,2.9
491,3.8
492,2.9
493,3.4
494,3.1
495,2.9
496,2.9
497,3.0
498,3.3
499,3.1
500,2.5
501,3.1
502,3.1
503,3.2
504,4.8
505,3.1
506,3.5
507,3.4
508,3.0
509,2.9
510,3.2
511,3.2
512,3.1
513,3.2
514,1.6
515,2.5
516,3.2
517,2.9
518,3.2
519,2.6
520,2.5
521,2.4
522,2.2
523,2.8
524,2.7
525,3.2
526,2.8
527,3.3
528,2.8
529,2.6
530,2.8
531,3.0
532,3.4
533,2.5
534,3.4
535,3.4
536,2.4
537,1.4
538,3.1
539,2.7
540,2.7
541,2.7
542,3.3
543,2.3
544,2.3
545,3.0
546,2.5
547,2.5
548,3.6
549,2.2
550,3.6
551,2.8
552,2.8
553,2.4
554,3.4
555,2.0
556,2.9
557,2.8
558,2.1
559,1.8
560,2.1
561,3.0
562,2.5
563,2.7
564,3.3
565,2.5
566,2.8
567,2.6
568,2.9
569,2.9
570,2.9
571,2.8
572,3.0
573,2.6
574,2.9
575,2.4
576,3.1
577,2.5
578,3.3
579,4.1
580,2.5
581,3.1
582,2.6
583,3.1
584,3.0
585,3.8
586,2.6
587,3.2
588,2.3
589,3.1
590,3.2
591,2.5
592,2.6
593,3.8
594,3.2
595,2.8
596,2.2
597,2.9
598,2.5
599,3.3
600,2.8
601,2.5
602,3.1
603,3.1
604,2.7
605,3.2
606,2.6
607,2.7
608,2.9
609,3.4
610,2.5
611,3.1
612,2.5
613,2.3
614,2.8
615,3.0
616,2.4
617,3.3
618,2.6
619,2.6
620,2.4
