,0
0,251.473603
1,295.650596
2,641.211817
3,1086.31328
4,317.616277
5,589.587696
6,483.564906
7,69.7670295
8,692.609789
9,28.3876828
10,469.754032
11,264.696924
12,76.6216207
13,57.0100061
14,105.893359
15,722.457315
16,233.767653
17,70.236764
18,115.034729
19,360.481877
20,836.271879
21,111.81955
22,141.778326
23,596.888641
24,167.632908
25,150.228765
26,327.358344
27,21.4424228
28,184.269802
29,233.111006
30,378.900412
31,142.43338
32,89.6787214
33,5.96520032
34,18.9851791
35,2.77352546
36,11.3775168
37,98.4176998
38,12.0027146
39,4.83078902
40,20.3967335
41,36.2722197
42,0.741380943
43,56.1129875
44,22.3184198
45,2.00108958
46,0.700255109
47,11.9086239
48,8.67777468
49,4.74607571
50,0.878615616
51,6.85672396
